CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15000116,657,Spain,Male,49,6,206415.92,1,1,1,113727.45,1
15000117,727,France,Female,54,5,149047.58,1,1,0,11010.31,0
15000118,577,Spain,Male,48,10,94944.39,2,0,1,99695.07,0
15000119,638,Germany,Female,37,10,125663.26,1,1,0,3954.41,0
15000120,620,Spain,Male,44,3,0.0,1,0,1,81186.26,0
15000121,532,Spain,Male,25,0,0.0,1,0,1,193273.71,0
15000122,576,France,Female,30,1,110719.63,2,1,1,152514.66,0
15000123,684,France,Female,31,9,0.0,1,1,0,146885.39,0
15000124,773,France,Male,60,9,66706.2,1,1,1,156974.65,1
15000125,703,France,Female,29,5,103399.24,1,1,0,169937.6,0
15000126,682,Spain,Male,29,7,0.0,1,1,1,8551.45,0
15000127,567,Spain,Female,27,2,0.0,2,1,0,175900.65,0
15000128,696,France,Female,43,6,0.0,2,0,0,154925.52,0
15000129,589,Germany,Female,39,8,0.0,4,1,0,136786.46,0
15000130,537,France,Female,48,3,31828.39,4,1,0,81153.18,0
15000131,563,France,Male,44,10,195466.03,2,1,0,60115.81,0
15000132,638,France,Female,24,6,74256.83,1,1,0,38397.5,0
15000133,598,France,Male,29,6,97432.23,1,1,1,68329.11,0
15000134,677,Spain,Male,51,9,0.0,1,1,0,175657.5,0
15000135,613,France,Male,35,8,73933.92,2,1,0,11302.72,0
15000136,676,Germany,Male,49,2,176585.06,1,1,0,145238.66,1
15000137,620,Germany,Female,36,10,27756.72,2,0,0,17040.76,0
15000138,645,France,Female,28,0,154691.83,2,0,0,23372.58,0
15000139,555,Spain,Female,34,7,85992.32,1,1,1,39956.93,0
15000140,787,Spain,Male,28,3,115205.86,1,0,1,134773.89,0
15000141,493,France,Male,32,1,46673.69,1,1,1,170283.66,0
15000142,850,France,Female,40,4,110133.92,1,1,1,28364.69,0
15000143,695,France,Male,43,3,143961.55,1,1,1,46784.63,0
15000144,499,France,Female,22,0,172014.36,1,1,1,126935.7,1
15000145,659,France,Female,37,6,0.0,1,1,0,91239.43,0
15000146,671,Germany,Female,32,3,47870.25,1,0,1,126699.19,0
15000147,793,Germany,Male,31,7,70500.31,1,1,0,31671.41,0
15000148,520,France,Female,39,8,79575.3,2,1,0,91926.28,1
15000149,520,France,Male,32,7,159171.26,2,0,0,68098.97,0
15000150,683,Spain,Female,51,0,112413.3,2,0,1,87349.67,0
15000151,668,France,Male,49,7,110343.26,1,0,1,59279.45,0
15000152,790,France,Male,49,4,0.0,2,1,0,28658.73,0
15000153,554,France,Male,33,0,82116.55,1,0,1,133360.27,0
15000154,546,Spain,Female,28,8,0.0,1,1,1,133807.69,0
15000155,829,France,Male,38,8,0.0,3,1,0,52885.25,0
15000156,645,Germany,Male,36,6,0.0,1,0,1,115437.39,0
15000157,578,Spain,Male,31,6,43495.81,2,1,0,192339.23,0
15000158,717,France,Female,26,10,95885.92,3,1,1,107430.82,0
15000159,453,Germany,Female,37,0,133835.89,2,1,0,62806.44,1
15000160,686,France,Female,33,8,977.78,1,0,0,61719.18,0
15000161,589,Germany,Female,44,0,166353.95,2,1,0,166251.55,1
15000162,601,Germany,Male,44,6,85391.05,1,0,0,97699.78,1
15000163,774,Germany,Male,49,8,0.0,4,1,0,52662.61,1
15000164,691,France,Female,25,8,0.0,2,1,1,126181.43,0
15000165,541,Spain,Male,42,4,0.0,2,0,1,172952.33,0
15000166,654,France,Male,30,5,107172.1,2,1,1,145495.51,0
15000167,661,France,Male,25,1,118732.6,1,1,1,17279.12,0
15000168,624,France,Male,33,1,16303.29,2,1,1,68339.09,0
15000169,557,Germany,Male,48,9,0.0,1,0,0,162544.31,0
15000170,671,Germany,Male,34,8,0.0,1,1,1,83657.67,0
15000171,717,France,Male,53,0,68696.48,2,1,0,199725.54,0
15000172,693,Germany,Male,43,9,0.0,1,0,1,68395.33,0
15000173,581,France,Male,34,4,48178.47,2,0,1,181500.01,0
15000174,634,Germany,Male,49,6,155853.85,1,1,0,91895.23,1
15000175,438,France,Male,42,9,0.0,2,1,0,187200.51,0
15000176,803,Germany,Female,28,5,149057.22,2,1,1,84267.36,0
15000177,592,France,Male,56,5,52780.93,2,1,0,93696.77,0
15000178,600,Spain,Female,40,5,0.0,2,1,1,108165.8,0
15000179,523,France,Female,38,7,116154.91,4,1,0,7968.87,0
15000180,732,France,Female,29,6,94813.45,1,1,1,16820.2,0
15000181,748,France,Male,49,4,0.0,2,1,1,170917.85,0
15000182,595,Spain,Male,43,9,92952.48,3,1,1,53038.47,0
15000183,540,Spain,Male,44,1,0.0,1,1,1,125456.6,1
15000184,651,France,Female,32,9,50044.86,1,1,1,52008.43,0
15000185,618,Germany,Male,46,5,95468.45,2,0,1,70423.67,0
15000186,721,Spain,Female,47,9,74472.31,1,1,0,120867.59,0
15000187,637,Germany,Female,31,4,0.0,1,1,1,67733.17,0
15000188,630,Germany,Male,23,3,100626.05,1,1,1,145165.54,0
15000189,714,France,Male,43,9,0.0,1,1,1,103314.22,0
15000190,498,France,Female,22,10,158389.29,2,1,0,151352.18,0
15000191,620,Spain,Male,39,4,163741.4,3,1,1,42796.41,0
15000192,668,Spain,Male,33,8,134552.06,2,1,1,128997.17,0
15000193,608,Germany,Female,50,1,80066.53,1,1,1,62676.49,0
15000194,676,France,Male,34,5,167240.78,2,1,0,70634.8,0
15000195,671,France,Female,49,10,0.0,2,0,0,37328.07,0
15000196,734,Germany,Female,32,8,81157.05,2,1,0,25714.69,0
15000197,623,Spain,Female,47,9,161325.35,3,1,1,176275.11,0
15000198,454,Spain,Male,58,4,0.0,2,1,1,189255.94,0
15000199,501,Spain,Male,27,10,159582.57,1,1,1,78718.85,0
15000200,694,Germany,Male,40,5,94049.92,2,1,1,152708.16,1
15000201,667,France,Male,65,9,0.0,1,1,0,160703.51,0
15000202,628,France,Male,38,3,129829.19,2,1,0,28379.79,0
15000203,635,Spain,Male,38,4,0.0,1,1,1,187817.75,0
15000204,587,Germany,Male,45,7,0.0,2,1,0,161644.9,1
15000205,588,France,Male,38,0,99474.11,1,0,1,157925.51,0
15000206,597,France,Female,20,0,0.0,1,1,0,184899.09,0
15000207,623,Germany,Male,49,9,83627.24,1,1,0,70583.67,1
15000208,661,France,Male,18,3,0.0,3,0,0,177338.89,0
15000209,642,France,Female,33,9,65163.29,1,0,0,199600.37,0
15000210,618,Germany,Female,50,2,148530.1,1,0,1,46277.63,0
15000211,716,Germany,Male,34,4,0.0,2,1,0,24296.6,0
15000212,733,Germany,Male,31,10,153586.04,2,0,0,21769.53,0
15000213,778,France,Female,46,9,0.0,2,0,1,75503.97,0
15000214,631,Germany,Female,29,7,0.0,1,1,1,161755.84,0
15000215,600,France,Female,25,0,69365.09,1,0,1,150168.72,0
15000216,643,France,Female,40,4,20029.96,1,1,0,39473.84,0
15000217,597,Germany,Male,36,4,110410.14,1,1,0,106950.99,1
15000218,648,Germany,Male,25,1,84911.15,2,0,0,72314.28,0
15000219,689,Spain,Male,44,4,0.0,3,0,0,166368.95,1
15000220,660,Germany,Female,42,7,0.0,2,0,0,160836.85,0
15000221,634,Germany,Female,34,9,0.0,1,1,1,162029.47,1
15000222,711,France,Female,35,6,0.0,1,0,1,105058.15,0
15000223,810,France,Male,42,1,0.0,1,0,1,161495.13,0
15000224,582,France,Male,49,5,31719.69,1,1,0,146674.69,0
15000225,682,France,Male,35,9,115832.7,2,1,0,104957.38,0
15000226,631,Spain,Female,44,10,131580.95,2,1,0,154553.81,1
15000227,568,France,Female,43,10,0.0,1,1,0,75379.06,0
15000228,580,Spain,Male,46,0,83534.13,1,0,1,155964.02,0
15000229,610,Germany,Male,38,9,53862.17,2,0,1,124678.82,0
15000230,801,Spain,Male,28,9,0.0,1,1,1,172377.22,0
15000231,741,Germany,Male,33,2,0.0,3,0,1,178467.84,0
15000232,564,Germany,Female,41,10,0.0,2,1,1,77753.38,0
15000233,702,France,Male,56,10,1220.85,1,0,1,57578.31,0
15000234,556,France,Female,33,5,85301.98,1,1,0,56024.8,0
15000235,589,Germany,Female,46,8,0.0,1,1,1,65230.99,0
15000236,776,France,Female,34,0,0.0,1,1,1,10151.61,0
15000237,840,France,Male,39,5,0.0,3,1,0,186247.15,1
15000238,468,Germany,Female,53,1,143398.4,1,1,0,24805.98,1
15000239,652,France,Male,45,8,111869.62,3,1,0,175592.14,0
15000240,689,Spain,Male,25,1,182409.69,2,1,1,97519.26,0
15000241,623,Spain,Male,32,2,91683.42,1,1,0,180071.28,1
15000242,663,Spain,Male,50,1,0.0,3,0,1,186519.04,0
15000243,611,France,Male,39,10,129661.58,1,1,1,164243.88,0
15000244,710,France,Male,26,3,113033.34,1,0,1,81399.29,0
15000245,617,Spain,Female,29,3,0.0,3,1,1,82499.71,0
15000246,703,France,Male,45,9,49018.98,2,1,1,193285.99,0
15000247,744,Spain,Female,47,0,70858.87,1,1,1,67358.06,1
15000248,731,Spain,Female,38,7,0.0,1,1,0,82239.12,1
15000249,632,Spain,Male,62,4,78893.59,2,1,1,58177.89,0
15000250,433,France,Female,46,7,38824.13,2,0,0,102750.02,0
15000251,697,France,Male,35,5,108152.55,4,1,0,122090.36,1
15000252,511,Spain,Male,29,1,0.0,2,1,0,132612.63,0
15000253,694,France,Male,28,6,28833.29,2,1,1,31706.62,0
15000254,686,France,Female,41,9,84926.32,4,1,1,69324.61,1
15000255,630,Germany,Male,33,8,76511.58,2,0,1,199193.65,0
15000256,656,Spain,Female,54,6,124914.66,2,1,0,14325.49,0
15000257,789,Germany,Male,52,10,19583.18,1,1,1,74451.09,1
15000258,774,Germany,Female,44,4,100602.88,1,0,0,42371.29,0
15000259,616,France,Male,26,3,0.0,2,0,1,56342.06,0
15000260,468,Germany,Female,31,10,0.0,2,0,1,93452.52,0
15000261,800,Spain,Female,50,7,143849.24,1,1,0,197315.21,0
15000262,498,France,Female,32,5,113042.98,2,1,1,162479.55,0
15000263,658,Germany,Female,49,4,0.0,1,0,1,48148.36,0
15000264,642,Spain,Female,42,6,81601.63,2,0,1,27498.32,0
15000265,691,Germany,Male,38,10,0.0,2,1,0,121243.88,1
15000266,774,Germany,Male,30,2,92609.3,1,1,1,175266.57,1
15000267,655,Germany,Male,37,8,156617.55,2,0,1,40061.33,0
15000268,601,France,Male,39,3,0.0,1,1,0,39043.72,0
15000269,677,France,Male,48,3,83083.89,2,0,0,136823.92,0
15000270,519,Spain,Male,29,7,51678.64,1,1,1,59447.75,0
15000271,584,Spain,Male,35,5,111887.58,2,1,0,8308.08,0
15000272,629,Spain,Female,38,10,104194.14,2,1,1,60501.46,0
15000273,702,Spain,Male,44,0,161134.4,1,1,0,42143.64,0
15000274,783,Germany,Female,28,1,96109.93,2,1,0,65535.72,1
15000275,753,Germany,Male,24,8,0.0,2,1,0,162896.95,0
15000276,738,Spain,Female,44,5,124153.12,1,0,1,134666.65,1
15000277,754,Germany,Female,22,6,91624.35,2,1,0,55955.85,1
15000278,706,Germany,Male,50,10,115381.85,2,1,0,81736.97,0
15000279,657,Spain,Male,36,8,0.0,2,1,1,42791.81,0
15000280,553,Spain,Male,22,2,131587.33,3,0,0,110729.7,0
15000281,653,France,Male,33,4,83636.2,2,0,1,45258.99,1
15000282,492,France,Female,41,4,75427.75,1,1,0,185452.7,0
15000283,599,France,Female,32,9,0.0,1,1,0,53966.3,0
15000284,656,Germany,Male,38,6,120682.57,1,1,0,142407.58,0
15000285,655,France,Male,45,1,0.0,1,0,0,78797.71,0
15000286,589,France,Male,35,3,0.0,1,1,1,178716.16,0
15000287,484,Germany,Male,28,10,0.0,1,1,1,63095.13,0
15000288,596,France,Female,35,3,24036.6,1,1,0,3194.33,0
15000289,625,Germany,Male,52,7,69899.08,1,1,1,21231.42,0
15000290,668,France,Male,54,9,53759.89,2,0,0,13583.6,0
15000291,716,France,Male,18,2,0.0,1,0,1,62008.91,0
15000292,620,Spain,Male,48,1,77540.69,1,1,1,134485.43,0
15000293,613,France,Female,40,8,98736.17,1,1,1,103231.24,0
15000294,588,France,Male,47,10,0.0,4,0,1,49811.19,1
15000295,643,Germany,Female,32,3,89500.26,2,1,1,199752.98,1
15000296,739,Spain,Female,20,8,87496.09,2,1,1,13150.25,0
15000297,549,France,Male,43,5,127906.14,1,1,1,124646.34,0
15000298,461,Germany,Male,28,0,138922.38,1,1,1,160328.81,0
15000299,670,France,Female,24,10,11137.5,3,1,0,191603.4,0
15000300,762,France,Female,24,2,211578.47,2,1,0,70891.83,0
15000301,679,Germany,Female,44,6,89311.99,2,1,1,114040.91,1
15000302,554,Germany,Male,39,8,0.0,1,0,0,50343.03,1
15000303,639,Germany,Female,45,7,43343.11,1,1,0,6739.54,0
15000304,655,Germany,Male,44,4,0.0,1,0,1,103544.66,0
15000305,718,Spain,Female,33,7,64259.64,2,1,0,118136.88,0
15000306,566,Germany,Female,37,1,0.0,2,1,1,55058.86,0
15000307,801,France,Male,32,2,86312.85,2,0,1,46474.6,0
15000308,610,Spain,Female,35,7,0.0,2,0,1,56196.7,0
15000309,586,France,Male,28,8,189713.99,2,1,1,104871.4,0
15000310,677,France,Female,41,9,93729.34,1,1,1,136098.56,1
15000311,516,France,Male,48,7,55050.73,1,1,1,144134.68,0
15000312,847,France,Female,29,3,93527.25,2,0,0,55425.64,0
15000313,694,Spain,Male,50,5,122585.01,2,1,1,171254.1,0
15000314,623,Spain,Female,39,10,0.0,2,1,1,97058.91,0
15000315,555,Germany,Male,40,4,0.0,1,1,1,109631.66,0
15000316,631,France,Male,21,3,173137.34,2,1,0,45672.62,0
15000317,743,France,Male,19,8,86777.18,2,0,1,76641.11,0
15000318,613,France,Female,39,9,116467.56,2,1,1,10337.6,0
15000319,577,France,Male,45,2,32165.91,3,1,1,115458.49,0
15000320,717,Germany,Female,31,0,0.0,2,1,1,149777.06,1
15000321,549,Germany,Male,54,6,45650.9,1,0,1,108707.88,0
15000322,672,Germany,Female,45,9,148457.92,2,1,0,65315.47,0
15000323,689,France,Male,28,7,0.0,2,1,0,166951.25,0
15000324,686,Spain,Male,38,10,16188.93,2,1,1,11537.49,0
15000325,691,Germany,Male,62,2,82782.13,2,0,1,49755.15,0
15000326,558,Germany,Male,25,2,210095.17,1,1,1,10016.62,0
15000327,631,Germany,Male,43,5,0.0,1,1,1,78608.49,0
15000328,625,France,Male,34,1,103649.3,2,1,1,50079.03,0
15000329,663,France,Female,45,5,0.0,1,1,0,136519.93,1
15000330,477,France,Female,50,4,128005.86,1,1,0,15721.96,1
15000331,515,Spain,Female,34,6,112660.1,4,1,1,6745.14,0
15000332,850,France,Male,49,8,0.0,1,1,0,110589.83,0
15000333,719,France,Female,60,8,31280.92,1,0,0,149325.8,0
15000334,629,France,Male,38,0,98941.27,1,1,0,93675.88,1
15000335,657,France,Female,45,6,0.0,1,1,0,56261.64,0
15000336,843,Spain,Male,32,2,0.0,1,1,0,99717.73,0
15000337,470,Germany,Male,38,3,0.0,2,0,1,67666.39,0
15000338,660,France,Male,36,1,111128.28,1,1,0,59257.01,0
15000339,617,France,Female,45,0,202199.35,2,0,1,89438.02,0
15000340,769,France,Male,50,9,203730.6,1,1,0,122813.85,1
15000341,705,France,Female,36,2,115146.99,1,1,1,115735.62,0
15000342,850,France,Male,53,9,0.0,2,1,0,21655.39,0
15000343,728,France,Female,53,8,0.0,1,0,1,43662.45,0
15000344,607,France,Female,46,0,0.0,2,0,0,1420.34,0
15000345,627,Germany,Male,32,2,153624.18,3,0,0,87637.19,0
15000346,715,Germany,Male,31,10,0.0,1,1,1,154028.1,0
15000347,789,France,Female,29,4,154421.64,2,1,1,82856.83,0
15000348,581,France,Male,47,2,35813.71,1,1,0,199866.59,0
15000349,674,Germany,Male,25,3,0.0,1,1,1,150070.23,1
15000350,461,Germany,Female,44,3,49615.6,2,0,0,74989.68,1
15000351,621,Spain,Female,27,0,65990.66,1,0,0,194641.62,0
15000352,815,Germany,Male,46,5,147210.82,1,1,0,128139.88,0
15000353,795,France,Female,38,10,0.0,1,1,1,183883.43,0
15000354,721,France,Male,51,6,67308.0,2,1,1,17478.78,0
15000355,820,Germany,Male,49,6,0.0,2,0,1,111523.35,0
15000356,624,France,Female,52,5,0.0,1,1,0,181690.62,0
15000357,643,Germany,Male,52,6,100254.62,1,0,1,130163.35,0
15000358,623,Spain,Male,39,2,69784.93,2,1,0,197642.5,0
15000359,712,Germany,Female,26,4,71572.48,1,1,1,199150.27,1
15000360,850,France,Female,27,6,66279.61,1,1,0,158409.78,0
15000361,685,Germany,Female,18,9,33580.57,2,1,1,55761.07,0
15000362,540,France,Female,27,4,66045.54,1,0,0,170713.65,0
15000363,544,Germany,Female,38,9,0.0,1,0,1,140703.76,0
15000364,566,Spain,Male,32,1,184623.52,4,1,0,21277.9,1
15000365,572,France,Male,36,5,0.0,1,1,1,77542.26,0
15000366,563,Spain,Female,42,6,0.0,2,1,1,174903.51,0
15000367,671,Spain,Male,34,10,0.0,2,1,1,141555.74,0
15000368,513,France,Female,26,1,109876.34,1,1,1,85478.52,0
15000369,697,France,Female,37,9,96305.7,2,1,0,122604.85,0
15000370,744,France,Male,29,7,67769.9,3,1,0,187356.41,0
15000371,590,France,Female,35,4,0.0,2,1,1,119528.61,0
15000372,683,France,Male,51,10,76611.13,2,1,1,45543.23,0
15000373,713,Germany,Male,35,7,126232.54,1,1,1,133876.32,0
15000374,734,France,Female,55,2,0.0,2,1,0,53246.61,0
15000375,660,France,Male,52,1,109962.56,1,1,0,123807.28,0
15000376,559,Spain,Male,32,6,80566.27,2,0,0,128917.64,0
15000377,660,France,Male,26,4,137079.22,2,1,1,72314.06,0
15000378,634,Spain,Female,37,4,145779.92,1,1,0,148138.35,0
15000379,663,France,Female,49,7,170907.02,1,1,0,58589.73,0
15000380,554,France,Female,33,8,165767.32,1,1,0,2955.59,1
15000381,504,Germany,Female,47,7,77854.43,2,1,1,70137.15,0
15000382,456,Germany,Male,50,9,19257.57,1,1,1,172461.54,1
15000383,481,Spain,Female,30,1,87527.28,2,1,0,115377.01,1
15000384,475,Germany,Female,31,9,0.0,1,1,1,169876.01,0
15000385,748,Spain,Male,45,10,112904.63,1,1,0,25729.55,1
15000386,674,France,Male,39,6,91131.39,2,0,0,38606.83,1
15000387,653,France,Female,31,10,0.0,3,1,1,32933.13,0
15000388,617,Spain,Female,34,4,147725.18,1,1,1,157027.76,0
15000389,466,Spain,Female,37,6,67323.76,1,1,0,122442.99,0
15000390,686,Spain,Female,22,2,96598.09,1,0,0,67288.01,1
15000391,671,France,Male,45,3,156042.09,2,0,0,156132.23,0
15000392,654,France,Female,33,6,81108.3,2,1,1,87084.14,0
15000393,576,Spain,Male,18,1,80065.75,1,0,1,123124.71,0
15000394,583,France,Male,37,1,0.0,4,1,1,170943.49,0
15000395,700,Spain,Female,30,0,130985.6,1,0,0,85055.95,0
15000396,576,Spain,Male,54,0,25072.61,2,1,1,150459.87,0
15000397,752,France,Female,32,0,0.0,1,0,0,113133.07,0
15000398,803,Spain,Male,27,5,0.0,1,1,0,181537.41,0
15000399,757,Spain,Male,43,4,40060.7,1,1,0,91098.55,0
15000400,659,France,Male,31,9,155238.3,2,0,0,59737.76,0
15000401,641,Spain,Male,30,7,0.0,1,1,1,53886.67,0
15000402,659,Germany,Male,43,4,156835.31,1,0,0,38173.18,0
15000403,715,Spain,Male,27,0,0.0,1,1,0,71316.9,1
15000404,789,France,Female,23,7,90587.48,2,1,1,86864.5,0
15000405,703,Spain,Male,55,5,100060.83,1,1,0,27119.38,1
15000406,486,France,Male,43,7,61037.16,3,0,0,147151.7,0
15000407,560,France,Female,35,1,0.0,1,0,1,187581.06,0
15000408,635,Spain,Female,37,9,0.0,1,1,0,82381.1,0
15000409,744,France,Male,43,7,97223.8,1,1,0,185040.95,0
15000410,850,France,Female,47,5,44483.2,2,0,0,84406.44,1
